date,q,pre_7d_mean,evp_7d_mean,gst_mean_7d_mean,prs_mean_7d_mean,tem_mean_7d_mean,rhu_7d_mean,win_mean_7d_mean,gst_min_7d_mean,prs_min_7d_mean,tem_min_7d_mean,gst_max_7d_mean,prs_max_7d_mean,tem_max_7d_mean,ssd_7d_mean,win_max_7d_mean
2001-08-19,7.269178075546876,15.819930842146277,3.715248380388533,22.575527954101567,876.558677455357,19.45050986153739,7.480750056675502,2.521876662118095,14.65083269391741,874.5279436383929,15.160586874825613,38.1256849016462,878.0565011160714,25.411128452845983,7.056888628989378,5.8529196602957585
2001-09-02,1.10202733243869,4.145588699515377,2.5623750141688753,19.63809465680804,878.4340262276786,17.676268659319195,7.961851174490792,2.322176170349121,13.337754821777343,876.8515485491072,14.417478942871094,33.477430071149556,879.652748325893,21.945015171595987,5.309332013130188,5.135923004150391
2002-06-30,0.6530211413946347,3.0036235884360005,5.647426932198661,27.29886518205915,873.1936941964285,23.073388453892303,5.774956893920899,2.438947309766497,14.649095807756696,871.0862025669642,17.128828648158482,50.15152544294085,874.5647321428571,29.31477879115513,10.51762308393206,6.274651009695871
2002-07-07,1.2891900773708116,3.4850231528361144,4.591924449375697,26.157820347377232,874.7305943080357,22.37002301897321,6.601706259591238,2.2646044049944196,16.14197104317801,872.9096958705358,17.462223597935267,45.188893345424106,876.0593610491071,27.824244471958703,7.886667660304477,6.232303019932338
2002-07-21,-0.6073678183689494,2.3520517144586592,6.682373537336076,30.018620082310267,873.0312639508928,23.847840663364956,4.940634645734514,2.3310414859226776,15.510796465192522,871.4565708705358,17.735892377580914,56.21569213867188,874.3473772321429,30.262967354910717,10.854264504568917,6.1352678026471805
2002-08-04,1.0319565510847923,3.009233579864459,4.4630459104265485,30.153247288295198,873.9407505580358,25.229752676827566,7.025309971400669,2.295151574271066,19.251366097586498,872.0872628348214,20.54353899274554,51.422559465680806,875.3529296875001,31.255075945172994,8.593578910827636,5.288879993983678
2002-09-08,1.717912621180844,6.228462226742081,2.419633715493338,19.59842769077846,880.8940150669642,17.925156511579242,7.910457338605608,2.346855858394078,14.428596932547435,878.9999162946427,14.862409973144533,30.593182155064174,882.5502371651785,22.531881713867186,2.999100378581456,5.147841726030622
2003-07-27,0.6336594781257945,2.160381087873663,5.7956204550606865,30.312263270786833,872.0434012276786,24.93873094831194,6.142505700247628,2.670419120788574,17.908145141601562,869.9062360491071,19.46643153599331,53.90945914132254,873.6134486607142,31.278233555385047,8.809809167044502,7.152734102521623
2003-09-21,0.7138720830967037,1.7054654536945602,2.9202181679861887,20.323165893554688,880.2370117187501,17.924915422712054,7.188708986554827,1.803366047995431,12.23101294381278,877.9615373883928,13.681370108468192,37.40961521693639,881.9118303571429,23.347504970005577,6.39399345942906,4.896195820399693
2004-08-01,0.8659994373518766,4.256441616031455,4.330079977852958,24.834605407714843,873.8122907366071,21.456270708356584,7.013575799124582,2.497622980390276,16.00502166748047,871.3931082589285,16.853841945103238,41.453440638950894,875.4972237723214,27.014232090541295,8.622040149143764,5.555114255632674
